description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Aceite de Oliva Puro 500 mL,EL OLIVAR,500.0,ml,36.3,tottus,2024-12-05 11:52:22.581679,ACEITE DE OLIVA,1.0,l,72.6
Aceite ALPA Soya Galón 5L,ALPA,5.0,l,36.5,vega,2024-12-05 12:28:35.181411,ACEITE DE OLIVA,1.0,l,7.300000000000001
Aceite Oliva Cuisine & Co 500ml,,500.0,ml,36.8,wong,2024-12-05 18:23:55.969958,ACEITE DE OLIVA,1.0,l,73.6
Aceite de Oliva Extra Virgen BELL'S Botella 500ml,BELL'S,500.0,ml,36.9,vivanda,2024-12-05 21:57:26.755416,ACEITE DE OLIVA,1.0,l,73.8
Aceite de Oliva Olivos del Sur Extra Virgen 250ml,,250.0,ml,37.6,wong,2024-12-05 18:23:55.969958,ACEITE DE OLIVA,1.0,l,150.4
Aceite de Oliva El Olivar Extra Virgen 500ml,,500.0,ml,37.9,metro,2024-12-05 15:50:55.737751,ACEITE DE OLIVA,1.0,l,75.8
Aceite de Oliva HUERTO ALAMEIN Extra Virgen Bo...,,500.0,ml,38.0,plaza_vea,2024-12-05 15:09:34.253857,ACEITE DE OLIVA,1.0,l,76.0
Aceite de Oliva Extra Virgen Cuisine & Co 500ml,,500.0,ml,38.5,metro,2024-12-05 15:50:55.737751,ACEITE DE OLIVA,1.0,l,77.0
Aceite de Oliva El Olivar Extra Virgen 500ml,,500.0,ml,38.9,wong,2024-12-05 18:23:55.969958,ACEITE DE OLIVA,1.0,l,77.8
Aceite de Oliva La Española Puro Botella 500 ml,,500.0,ml,38.9,metro,2024-12-05 15:50:55.737751,ACEITE DE OLIVA,1.0,l,77.8
Aceite de Oliva Extra Virgen Cuisine & Co 500ml,,500.0,ml,39.0,wong,2024-12-05 18:23:55.969958,ACEITE DE OLIVA,1.0,l,78.0
Aceite de Oliva Extra Virgen 500 mL,EL OLIVAR,500.0,ml,39.2,tottus,2024-12-05 11:52:22.581679,ACEITE DE OLIVA,1.0,l,78.4
Aceite de Oliva Filippo Berio Puro Botella 500 ml,,500.0,ml,39.9,wong,2024-12-05 18:23:55.969958,ACEITE DE OLIVA,1.0,l,79.8
Aceite de Oliva Filippo Berio Extra Virgen 500ml,,500.0,ml,39.9,wong,2024-12-05 18:23:55.969958,ACEITE DE OLIVA,1.0,l,79.8
Aceite de Oliva Puro Huerto Alamein 500ml,,500.0,ml,41.9,metro,2024-12-05 15:50:55.737751,ACEITE DE OLIVA,1.0,l,83.8
Aceite de Oliva HUERTO ALAMEIN Puro Botella 50...,,500.0,ml,41.9,plaza_vea,2024-12-05 15:09:34.253857,ACEITE DE OLIVA,1.0,l,83.8
Aceite de Oliva VALDEPORRES Extra Virgen Botel...,,500.0,ml,42.5,plaza_vea,2024-12-05 15:09:34.253857,ACEITE DE OLIVA,1.0,l,85.0
Aceite de Oliva El Olivar Suave Botella 500 ml,,500.0,ml,44.0,metro,2024-12-05 15:50:55.737751,ACEITE DE OLIVA,1.0,l,88.0
Aceite de Oliva El Olivar Suave Botella 500 ml,,500.0,ml,44.4,wong,2024-12-05 18:23:55.969958,ACEITE DE OLIVA,1.0,l,88.8
Aceite de Oliva Extra Virgen Carbonell Botella 500 ml,,500.0,ml,44.9,wong,2024-12-05 18:23:55.969958,ACEITE DE OLIVA,1.0,l,89.8
Aceite de Oliva CARBONELL Sabor Afrutado Intenso Botella 500ml,CARBONELL,500.0,ml,44.9,vivanda,2024-12-05 21:57:26.755416,ACEITE DE OLIVA,1.0,l,89.8
Aceite De Oliva Extra Virgen Premium x 500 mL,TOTTUS,500.0,ml,44.9,tottus,2024-12-05 11:52:22.581679,ACEITE DE OLIVA,1.0,l,89.8
Aceite de Oliva Oli21 Extra Virgen 500ml,,500.0,ml,44.9,metro,2024-12-05 15:50:55.737751,ACEITE DE OLIVA,1.0,l,89.8
