description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Brownie Chip Nutra Bien 4un,,4.0,un,10.4,metro,2024-12-05 15:15:01.156214,PANETÓN,4.0,un,10.4
Brownie Nutra Bien Mini 6un,,6.0,un,10.5,metro,2024-12-05 15:15:01.156214,PANETÓN,6.0,un,10.5
Panetón Tradicional Máxima Doypack 800g,,800.0,g,10.5,metro,2024-12-05 15:15:01.156214,PANETÓN,800.0,g,10.5
Panetón VEGATTONE Bolsa 750g,VEGATTONE,750.0,g,10.5,vega,2024-12-05 11:46:23.316719,PANETÓN,750.0,g,10.5
Panetón BELL'S Bolsa 800g,BELL'S,800.0,g,10.6,vivanda,2024-12-05 21:34:08.513451,PANETÓN,800.0,g,10.6
Keke Naranja Bimbo Paquete 380 g,,380.0,g,10.9,metro,2024-12-05 15:15:01.156214,PANETÓN,380.0,g,10.9
Panetón Vegano Bona Stella Chocolate Caja 100g,,100.0,g,10.9,wong,2024-12-05 17:42:09.348768,PANETÓN,100.0,g,10.9
Keke Marmoleado Bimbo Paquete 380 g,,380.0,g,10.9,metro,2024-12-05 15:15:01.156214,PANETÓN,380.0,g,10.9
Keke Marmoleado Bimbo Paquete 380 g,,380.0,g,11.2,wong,2024-12-05 17:42:09.348768,PANETÓN,380.0,g,11.2
Keke Naranja Bimbo Paquete 380 g,,380.0,g,11.2,wong,2024-12-05 17:42:09.348768,PANETÓN,380.0,g,11.2
Panetón Tradicional Metro Bolsa 800g,,800.0,g,11.5,metro,2024-12-05 15:15:01.156214,PANETÓN,800.0,g,11.5
Brownie Nutra Bien Mini 6un,,6.0,un,12.9,wong,2024-12-05 17:42:09.348768,PANETÓN,6.0,un,12.9
Panetón VEGA Bolsa Ziploc 800gr,Vega,800.0,g,14.9,vega,2024-12-05 11:46:23.316719,PANETÓN,800.0,g,14.9
Blondies Mr Brownie 8un,,8.0,un,14.9,metro,2024-12-05 15:15:01.156214,PANETÓN,8.0,un,14.9
Brownie Clásico Nutra Bien 4un,,4.0,un,14.9,wong,2024-12-05 17:42:09.348768,PANETÓN,4.0,un,14.9
Brownie Chip Nutra Bien 4un,,4.0,un,14.9,wong,2024-12-05 17:42:09.348768,PANETÓN,4.0,un,14.9
Kekes Sabor Limón Mr Brownie 8un,,8.0,un,14.9,metro,2024-12-05 15:15:01.156214,PANETÓN,8.0,un,14.9
Panetón Al Cioccolato en Caja 500 g,TODINNO,500.0,g,17.1,tottus,2024-12-05 11:17:35.295222,PANETÓN,500.0,g,17.1
Panetón Metro Bolsa 800g + Gaseosa Coca Cola 1.5L,,800.0,g,17.4,metro,2024-12-05 15:15:01.156214,PANETÓN,800.0,g,17.4
Panetón Metro Bolsa 800g + Gaseosa Inca Kola Sin Azúcar 1.5L,,800.0,g,17.4,metro,2024-12-05 15:15:01.156214,PANETÓN,800.0,g,17.4
Panetón Metro Bolsa 800g + Gaseosa Coca Cola Sin Azúcar 1.5L,,800.0,g,17.4,metro,2024-12-05 15:15:01.156214,PANETÓN,800.0,g,17.4
Panetón Cuisine & Co Tradicional Doypack 800g,,800.0,g,17.9,wong,2024-12-05 17:42:09.348768,PANETÓN,800.0,g,17.9
Panetón Gloria Doypack 800g,,800.0,g,17.9,metro,2024-12-05 15:15:01.156214,PANETÓN,800.0,g,17.9
Panetón con Gotas Sabor Chocolate Chocotón Caja 450g,,450.0,g,18.0,wong,2024-12-05 17:42:09.348768,PANETÓN,450.0,g,18.0
Panetón con Gotas Sabor Chocolate Chocotón Caja 450g,,450.0,g,18.0,metro,2024-12-05 15:15:01.156214,PANETÓN,450.0,g,18.0
Panetón con Chispas Sabor Chocolate Cuisine & Co Caja 500g,,500.0,g,18.5,wong,2024-12-05 17:42:09.348768,PANETÓN,500.0,g,18.5
Panetón x 900 g Bolsa Zip,DON LUCHO,900.0,g,18.9,tottus,2024-12-05 11:17:35.295222,PANETÓN,900.0,g,18.9
Panetón Clásico LA FLORENCIA Bolsa 600g,LA FLORENCIA,600.0,g,18.9,vivanda,2024-12-05 21:34:08.513451,PANETÓN,600.0,g,18.9
Panetón Frutas Confitadas Pasas Bolsa 800 g,COSTA,800.0,g,18.9,tottus,2024-12-05 11:17:35.295222,PANETÓN,800.0,g,18.9
Panetón DONOFRIO Chariton Bolsa 750g,,750.0,g,18.9,plaza_vea,2024-12-05 14:32:54.227755,PANETÓN,750.0,g,18.9
Panetón Clásico LA FLORENCIA Bolsa 600g,,600.0,g,18.9,plaza_vea,2024-12-05 14:32:54.227755,PANETÓN,600.0,g,18.9
Panetón en Bolsa 900 g,BLANCA FLOR,900.0,g,19.7,tottus,2024-12-05 11:17:35.295222,PANETÓN,900.0,g,19.7
Panetón BIMBO Bolsa 900g,,900.0,g,19.9,plaza_vea,2024-12-05 14:32:54.227755,PANETÓN,900.0,g,19.9
Panetón Relleno Chocotón Manjar Blanco Caja 450g,,450.0,g,20.0,wong,2024-12-05 17:42:09.348768,PANETÓN,450.0,g,20.0
