description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Leche Zero Lacto Uht 1 L,S/ 6.20,tottus,MARGARINA ENVASADA,2024-12-05 11:52:58.238326,1.0,l,Leche Zero Lacto Uht,6.2,tottus,,GLORIA,MARGARINA ENVASADA
Apio Hipodrónico Ecologic x un,S/ 6.30,metro,MARGARINA ENVASADA,2024-12-05 15:52:34.363186,1.0,un,Apio Hipodrónico Ecologic,6.3,metro,,,MARGARINA ENVASADA
Mantequilla con Sal Gloria 90g,S/ 6.40,metro,MARGARINA ENVASADA,2024-12-05 15:52:34.363186,90.0,g,Mantequilla con Sal Gloria,6.4,metro,,,MARGARINA ENVASADA
Ensalada Rusa BELL'S Bolsa 500g,S/ 6.49,vivanda,MARGARINA ENVASADA,2024-12-05 21:58:18.644221,500.0,g,Ensalada Rusa BELL'S Bolsa,6.49,vivanda,,BELL'S,MARGARINA ENVASADA
Bebida Rehidratante SUEROX Sabor a Mandarina Botella 630ml,S/ 6.50,vega,MARGARINA ENVASADA,2024-12-05 12:30:06.852302,630.0,ml,Bebida Rehidratante SUEROX Sabor a Mandarina Botella,6.5,vega,,SUEROX,MARGARINA ENVASADA
Bebida Rehidrantante SUEROX Naranja y Mandarin...,S/ 6.50 un,plaza_vea,MARGARINA ENVASADA,2024-12-05 15:10:58.273034,630.0,ml,Bebida Rehidrantante SUEROX Naranja y Mandarin,6.5,plaza_vea,Botella 630ml,,MARGARINA ENVASADA
Croutones 60 g,S/ 6.50,tottus,MARGARINA ENVASADA,2024-12-05 11:52:58.238326,60.0,g,Croutones,6.5,tottus,,DON MAMINO,MARGARINA ENVASADA
Bebida Rehidrantante SUEROX Naranja y Mandarina Botella 630ml,S/ 6.50,vivanda,MARGARINA ENVASADA,2024-12-05 21:58:18.644221,630.0,ml,Bebida Rehidrantante SUEROX Naranja y Mandarina Botella,6.5,vivanda,,SUEROX,MARGARINA ENVASADA
Ensalada Mix BELL'S FRESCOS Bolsa 150g,S/ 6.59 un,plaza_vea,MARGARINA ENVASADA,2024-12-05 15:10:58.273034,150.0,g,Ensalada Mix BELL'S FRESCOS Bolsa,6.59,plaza_vea,Bolsa 150gun,,MARGARINA ENVASADA
Ensalada Mix BELL'S FRESCOS Bolsa 150g,S/ 6.59,vivanda,MARGARINA ENVASADA,2024-12-05 21:58:18.644221,150.0,g,Ensalada Mix BELL'S FRESCOS Bolsa,6.59,vivanda,,BELL'S FRESCOS,MARGARINA ENVASADA
Ensalada SOLEI Coco en Trozos Frasco 130g,S/ 6.79,vivanda,MARGARINA ENVASADA,2024-12-05 21:58:18.644221,130.0,g,Ensalada SOLEI Coco en Trozos Frasco,6.79,vivanda,,SOLEI,MARGARINA ENVASADA
PAN PITA INTEGRAL CERO CERO X300GR,S/ 6.80,tottus,MARGARINA ENVASADA,2024-12-05 11:52:58.238326,300.0,g,PAN PITA INTEGRAL CERO CERO XR,6.8,tottus,,BIMBO,MARGARINA ENVASADA
Mermelada de Mandarina COMPASS Frasco 240g,S/ 6.90 un,plaza_vea,MARGARINA ENVASADA,2024-12-05 15:10:58.273034,240.0,g,Mermelada de Mandarina COMPASS Frasco,6.9,plaza_vea,Frasco 240g,,MARGARINA ENVASADA
Margarina Clásica DORINA Pote 220g,S/ 6.90 un,plaza_vea,MARGARINA ENVASADA,2024-12-05 15:10:58.273034,220.0,g,Margarina Clásica DORINA Pote,6.9,plaza_vea,Pote 220g,,MARGARINA ENVASADA
Semi Baguette Dulce 420 g,S/ 6.90,tottus,MARGARINA ENVASADA,2024-12-05 11:52:58.238326,420.0,g,Semi Baguette Dulce,6.9,tottus,,TOTTUS,MARGARINA ENVASADA
Margarina Light DORINA Pote 220g,S/ 6.90 un,plaza_vea,MARGARINA ENVASADA,2024-12-05 15:10:58.273034,220.0,g,Margarina Light DORINA Pote,6.9,plaza_vea,Pote 220g,,MARGARINA ENVASADA
Margarina Light DORINA Pote 220g,S/ 6.90,vivanda,MARGARINA ENVASADA,2024-12-05 21:58:18.644221,220.0,g,Margarina Light DORINA Pote,6.9,vivanda,,DORINA,MARGARINA ENVASADA
Semi Baguette Multi Semillas 3 Unidades,S/ 6.90,tottus,MARGARINA ENVASADA,2024-12-05 11:52:58.238326,3.0,un,Semi Baguette Multi Semillas ades,6.9,tottus,,TOTTUS,MARGARINA ENVASADA
Ensalada Americana BELL'S FRESCOS Bolsa 500g,S/ 6.99,vivanda,MARGARINA ENVASADA,2024-12-05 21:58:18.644221,500.0,g,Ensalada Americana BELL'S FRESCOS Bolsa,6.99,vivanda,,BELL'S FRESCOS,MARGARINA ENVASADA
Ensalada Americana BELL'S FRESCOS Bolsa 500g,S/ 6.99 un,plaza_vea,MARGARINA ENVASADA,2024-12-05 15:10:58.273034,500.0,g,Ensalada Americana BELL'S FRESCOS Bolsa,6.99,plaza_vea,Bolsa 500gun,,MARGARINA ENVASADA
"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella 1.87 lt",S/ 7.10,metro,MARGARINA ENVASADA,2024-12-05 15:52:34.363186,1.87,l,"Bebida De Naranja, Mandarina y Limón Citrus Punch Tampico Botella",7.1,metro,,,MARGARINA ENVASADA
Pan Árabe Blanco 10 Unidades,S/ 7.40,tottus,MARGARINA ENVASADA,2024-12-05 11:52:58.238326,10.0,un,Pan Árabe Blanco ades,7.4,tottus,,EL CEDRO,MARGARINA ENVASADA
Pan Árabe Integral 10 Unidades,S/ 7.40,tottus,MARGARINA ENVASADA,2024-12-05 11:52:58.238326,10.0,un,Pan Árabe Integral ades,7.4,tottus,,EL CEDRO,MARGARINA ENVASADA
Ensalada Mix La Itali BELL'S FRESCOS Envase 15...,S/ 7.49 un,plaza_vea,MARGARINA ENVASADA,2024-12-05 15:10:58.273034,150.0,g,Ensalada Mia Itali BELL'S FRESCOS Envase 15,7.49,plaza_vea,Envase 150gun,,MARGARINA ENVASADA
Ensalada Mix Primavera BELL'S FRESCOS Táper 15...,S/ 7.49 un,plaza_vea,MARGARINA ENVASADA,2024-12-05 15:10:58.273034,150.0,g,Ensalada Mix Primavera BELL'S FRESCOS Táper 15,7.49,plaza_vea,Táper 150gun,,MARGARINA ENVASADA
Floretes de Brócoli 500g aprox,S/ 7.49,metro,MARGARINA ENVASADA,2024-12-05 15:52:34.363186,500.0,g,Floretes de Brócoli  aprox,7.49,metro,,,MARGARINA ENVASADA
