description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,CLASIFICACION
Filete de Merluza con Piel Seafrost 500g,S/ 12.90,metro,MERLUZA,2024-12-05 15:37:55.278013,500.0,g,Filete de Merluza con Piel Seafrost,12.9,metro,MERLUZA
Nuggets Empanizados de Merluza Congelados Seafrost Bolsa 1 Kg,S/ 27.50,metro,MERLUZA,2024-12-05 15:37:55.278013,1.0,kg,Nuggets Empanizados de Merluza Congelados Seafrost Bolsa,27.5,metro,MERLUZA
Filete de Merluza Empanizado Congelado Seafrost Bolsa 1 Kg,S/ 27.90,metro,MERLUZA,2024-12-05 15:37:55.278013,1.0,kg,Filete de Merluza Empanizado Congelado Seafrost Bolsa,27.9,metro,MERLUZA
