description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Papas Fritas Lays Artesanas Sal Marina 34g,,34.0,g,2.9,metro,2024-12-05 16:34:07.362255,SAL,1.0,kg,85.29411764705881,SAL
Galletas RITZ Taco 52.5g x 2u,Ritz,52.5,g,3.0,vega,2024-12-05 11:49:16.899897,GALLETAS SALADAS,52.5,g,3.0,SAL
Cancha Chulpi Salada Cuisine & Co Bolsa 100 g,,100.0,g,3.12,wong,2024-12-05 17:44:05.556753,GALLETAS SALADAS,100.0,g,3.12,SAL
Galletas SAN JORGE Familiar Paquete 75g x 2u,San Jorge,75.0,g,3.2,vega,2024-12-05 11:49:16.899897,GALLETAS SALADAS,75.0,g,3.2,SAL
Galletas Saladas FIELD Soda Paquete 6un,,6.0,un,3.5,plaza_vea,2024-12-05 14:35:08.977138,GALLETAS SALADAS,6.0,un,3.5,SAL
Pasta de Tomate B & D 200g,,200.0,g,3.6,metro,2024-12-05 16:40:39.678401,PASTA Y SALSA DE TOMATE,200.0,g,3.6,SAL
Salsa de Tomate Pomarola Bolognesa con Carne de 170 g,MOLITALIA,170.0,g,3.7,tottus,2024-12-05 12:39:28.205497,PASTA Y SALSA DE TOMATE,170.0,g,3.7,SAL
Piqueo BELL'S Chifles Salados Táper 100g,BELL'S,100.0,g,3.79,vivanda,2024-12-05 21:35:34.448824,PASTELES SALADOS,100.0,g,3.79,SAL
Sal Fina de Mesa EMSAL Frasco 125g,,125.0,g,3.79,plaza_vea,2024-12-05 15:51:25.130417,SAL,1.0,kg,30.32,SAL
Sixpack Galletas Saladas Ritz Sabor Original 22.4g,,22.4,g,3.8,wong,2024-12-05 17:44:05.556753,GALLETAS SALADAS,22.4,g,3.8,SAL
Cancha Chulpi Salada Cuisine & Co Bolsa 100 g,,100.0,g,3.9,metro,2024-12-05 15:16:02.393367,GALLETAS SALADAS,100.0,g,3.9,SAL
Galletas Saladas Jamón Ahumado Crackelet Costa Bolsa 150 gr,,150.0,g,3.9,metro,2024-12-05 15:16:02.393367,GALLETAS SALADAS,150.0,g,3.9,SAL
Salsa Roja de Tomate DON VITTORIO Doypack 200g,,200.0,g,3.9,plaza_vea,2024-12-05 15:55:54.046639,PASTA Y SALSA DE TOMATE,200.0,g,3.9,SAL
Galletas Saladas RITZ Bolsa 20g Paquete 6un,NABISCO RITZ,20.0,g,4.0,vivanda,2024-12-05 21:35:23.014531,GALLETAS SALADAS,20.0,g,4.0,SAL
Sixpack Galletas Saladas Ritz Original 20g,,20.0,g,4.0,wong,2024-12-05 17:44:05.556753,GALLETAS SALADAS,20.0,g,4.0,SAL
Sixpack Galletas Saladas Ritz Original 20g,,20.0,g,4.0,metro,2024-12-05 15:16:02.393367,GALLETAS SALADAS,20.0,g,4.0,SAL
Sal Light 125 g,BIOSAL,125.0,g,4.1,tottus,2024-12-05 12:32:25.931684,SAL,1.0,kg,32.8,SAL
Galletas Saladas Jamón Ahumado Crackelet Costa Bolsa 150 gr,,150.0,g,4.1,wong,2024-12-05 17:44:05.556753,GALLETAS SALADAS,150.0,g,4.1,SAL
Filete de Atún en Agua y Sal Cuisine & Co 140g,,140.0,g,4.2,metro,2024-12-05 16:34:07.362255,SAL,1.0,kg,30.0,SAL
Maní KARINTO Engalletado Salado Bolsa 100g,KARINTO,100.0,g,4.2,vivanda,2024-12-05 21:35:34.448824,PASTELES SALADOS,100.0,g,4.2,SAL
Piqueo BELL'S Maní salado Bolsa 180Gr,BELL'S,180.0,g,4.2,vivanda,2024-12-05 21:35:34.448824,PASTELES SALADOS,180.0,g,4.2,SAL
Galletas Integral COSTA con Salvado de Trigo Paquete 6u 37g,Costa,37.0,g,4.3,vega,2024-12-05 11:49:16.899897,GALLETAS SALADAS,37.0,g,4.3,SAL
Piqueo BELL'S Maní Frito Salado Táper 140g,BELL'S,140.0,g,4.3,vivanda,2024-12-05 21:35:34.448824,PASTELES SALADOS,140.0,g,4.3,SAL
Galletas COSTA Gretel Manjar Paquete 6u 32g,Costa,32.0,g,4.3,vega,2024-12-05 11:49:16.899897,GALLETAS SALADAS,32.0,g,4.3,SAL
Galletas Saladas Sixpack Integral 144 g,CLUB SOCIAL,144.0,g,4.5,tottus,2024-12-05 11:19:34.689466,GALLETAS SALADAS,144.0,g,4.5,SAL
Galletas Saladas CLUB SOCIAL Integrales Paquet...,,144.0,g,4.5,plaza_vea,2024-12-05 14:35:08.977138,GALLETAS SALADAS,144.0,g,4.5,SAL
Sal Marina de Mesa EMSAL Ecológica Doypack 500...,,500.0,g,4.59,plaza_vea,2024-12-05 15:51:25.130417,SAL,1.0,kg,9.18,SAL
Piqueo BELL'S Chifles salados Bolsa 125Gr,BELL'S,125.0,g,4.59,vivanda,2024-12-05 21:35:34.448824,PASTELES SALADOS,125.0,g,4.59,SAL
Sixpack Galletas Saladas Club Social Original 24g,,24.0,g,4.6,wong,2024-12-05 17:44:05.556753,GALLETAS SALADAS,24.0,g,4.6,SAL
Sixpack Galletas Saladas Club Social Integral 24g,,24.0,g,4.6,metro,2024-12-05 15:16:02.393367,GALLETAS SALADAS,24.0,g,4.6,SAL
Sixpack Galletas Saladas Club Social Integral 24g,,24.0,g,4.6,wong,2024-12-05 17:44:05.556753,GALLETAS SALADAS,24.0,g,4.6,SAL
Galletas Saladas RITZ sabor Queso Paquete 6un,,6.0,un,4.79,plaza_vea,2024-12-05 14:35:08.977138,GALLETAS SALADAS,6.0,un,4.79,SAL
Galleta SAN JORGE Soda Paquete 7un,San Jorge,7.0,un,4.8,vega,2024-12-05 11:49:16.899897,GALLETAS SALADAS,7.0,un,4.8,SAL
Piqueo TOR-TEES Clásico Bolsa 138gr,Tortees,138.0,g,4.9,vega,2024-12-05 13:13:21.077037,SAL,1.0,kg,35.507246376811594,SAL
Galletas Saladas DORÉ Paquete 6un,DORE,6.0,un,4.9,vivanda,2024-12-05 21:35:23.014531,GALLETAS SALADAS,6.0,un,4.9,SAL
PULPA FINAL DE TOMATE X 400 G,TOTTUS,400.0,g,4.9,tottus,2024-12-05 12:39:28.205497,PASTA Y SALSA DE TOMATE,400.0,g,4.9,SAL
Galletas Saladas DORÉ Paquete 6un,,6.0,un,4.9,plaza_vea,2024-12-05 14:35:08.977138,GALLETAS SALADAS,6.0,un,4.9,SAL
Sixpack Galletas Saladas Ritz Sandwich Sabor Queso 30g,,30.0,g,4.99,wong,2024-12-05 17:44:05.556753,GALLETAS SALADAS,30.0,g,4.99,SAL
Piqueo VILLA NATURA Chifles salados Bolsa 150Gr,VILLA NATURA,150.0,g,5.0,vivanda,2024-12-05 21:35:34.448824,PASTELES SALADOS,150.0,g,5.0,SAL
Sal Marina Emsal Doypack Ecológico 500Gr,,500.0,g,5.1,metro,2024-12-05 16:34:07.362255,SAL,1.0,kg,10.2,SAL
Sal Marina Emsal Doypack Ecológico 500Gr,,500.0,g,5.1,wong,2024-12-05 19:11:30.903657,SAL,1.0,kg,10.2,SAL
Sixpack Galletas Saladas Club Social Sabor Mantequilla 24g,,24.0,g,5.2,wong,2024-12-05 17:44:05.556753,GALLETAS SALADAS,24.0,g,5.2,SAL
Sixpack Galletas Saladas Club Social Sabor Mantequilla 24g,,24.0,g,5.2,metro,2024-12-05 15:16:02.393367,GALLETAS SALADAS,24.0,g,5.2,SAL
Galleta RITZ Sabor a Queso 30g Paquete 6u,Ritz,30.0,g,5.2,vega,2024-12-05 11:49:16.899897,GALLETAS SALADAS,30.0,g,5.2,SAL
Galletas Saladas CLUB SOCIAL sabor Mantequilla...,,144.0,g,5.2,plaza_vea,2024-12-05 14:35:08.977138,GALLETAS SALADAS,144.0,g,5.2,SAL
Sal de Mesa LOBOS Fina Frasco 500g,,500.0,g,5.29,plaza_vea,2024-12-05 15:51:25.130417,SAL,1.0,kg,10.58,SAL
Sal de Mesa LOBOS Fina Frasco 500g,LOBOS,500.0,g,5.29,vivanda,2024-12-05 22:24:21.654975,SAL,1.0,kg,10.58,SAL
Tripack Galletas Saladas Ritz Original 52.5g,,52.5,g,5.3,metro,2024-12-05 15:16:02.393367,GALLETAS SALADAS,52.5,g,5.3,SAL
Tripack Galletas Saladas Ritz Original 52.5g,,52.5,g,5.3,wong,2024-12-05 17:44:05.556753,GALLETAS SALADAS,52.5,g,5.3,SAL
Filete de Atún en Agua y Sal Cuisine & Co 140g,,140.0,g,5.5,wong,2024-12-05 19:11:30.903657,SAL,1.0,kg,39.285714285714285,SAL
Sólido de Atún en Agua y Sal Cuisine & Co 140g,,140.0,g,5.5,wong,2024-12-05 19:11:30.903657,SAL,1.0,kg,39.285714285714285,SAL
Filete de Atún en Agua y Sal Cuisine & Co 140g,,140.0,g,5.5,wong,2024-12-05 19:11:30.903657,SAL,1.0,kg,39.285714285714285,SAL
Sólido de Atún en Agua y Sal Metro 140g,,140.0,g,5.6,metro,2024-12-05 16:34:07.362255,SAL,1.0,kg,39.99999999999999,SAL
Sazonador AJINOMOTO Sobre 250gr,Ajinomoto,250.0,g,5.6,vega,2024-12-05 13:13:21.077037,SAL,1.0,kg,22.4,SAL
Sólido de Atún en Agua y Sal Cuisine & Co 140g,,140.0,g,5.6,metro,2024-12-05 16:34:07.362255,SAL,1.0,kg,39.99999999999999,SAL
Galleta Vainilla FIELD 37 gr Paquete 6un,Field,37.0,g,5.7,vega,2024-12-05 11:49:16.899897,GALLETAS SALADAS,37.0,g,5.7,SAL
Galletas Saladas Ducales 241g,,241.0,g,5.7,metro,2024-12-05 15:16:02.393367,GALLETAS SALADAS,241.0,g,5.7,SAL
Lomos de Atún en Agua y Sal Campomar 150g,,150.0,g,5.8,wong,2024-12-05 19:11:30.903657,SAL,1.0,kg,38.666666666666664,SAL
Galletas Saladas Doré Paquete 24 g Pack 6 unid,,24.0,g,5.8,metro,2024-12-05 15:16:02.393367,GALLETAS SALADAS,24.0,g,5.8,SAL
Galletas Saladas DORÉ Paquete 230g,,230.0,g,5.8,plaza_vea,2024-12-05 14:35:08.977138,GALLETAS SALADAS,230.0,g,5.8,SAL
Trozos Atún en Aceite Vegetal y Sal 140g,FLORIDA,140.0,g,5.8,tottus,2024-12-05 12:32:25.931684,SAL,1.0,kg,41.42857142857142,SAL
Papitas al Hilo LAYS con Sal Bolsa 155gr,Lays,155.0,g,5.8,vega,2024-12-05 13:13:21.077037,SAL,1.0,kg,37.41935483870968,SAL
Filete de Atún en Aceite Girasol y Sal Florida 140g,,140.0,g,5.9,wong,2024-12-05 19:11:30.903657,SAL,1.0,kg,42.142857142857146,SAL
Filete de Atún en Aceite Girasol y Sal Florida 140g,,140.0,g,5.9,metro,2024-12-05 16:34:07.362255,SAL,1.0,kg,42.142857142857146,SAL
Galletas de Agua SAN JORGE Crackers Bolsa 450g,San Jorge,450.0,g,5.9,vega,2024-12-05 11:49:16.899897,GALLETAS SALADAS,450.0,g,5.9,SAL
Resaltadores CLASS&WORK JP9913AG Pastel Caja 2un,CLASS & WORK,2.0,un,5.9,vivanda,2024-12-05 21:35:34.448824,PASTELES SALADOS,2.0,un,5.9,SAL
Galletas Saladas Ducales 241g,,241.0,g,5.9,wong,2024-12-05 17:44:05.556753,GALLETAS SALADAS,241.0,g,5.9,SAL
Galletas Saladas Doré 230g,,230.0,g,6.0,metro,2024-12-05 15:16:02.393367,GALLETAS SALADAS,230.0,g,6.0,SAL
Galletas Saladas DORÉ Paquete 230g,DORE,230.0,g,6.0,vivanda,2024-12-05 21:35:23.014531,GALLETAS SALADAS,230.0,g,6.0,SAL
Filete de Atún con Agua y Sal PRIMOR Lata 140g,PRIMOR,140.0,g,6.0,vivanda,2024-12-05 22:24:21.654975,SAL,1.0,kg,42.857142857142854,SAL
Sal Fina de Mesa EMSAL Frasco 500g,EMSAL,500.0,g,6.1,vivanda,2024-12-05 22:24:21.654975,SAL,1.0,kg,12.2,SAL
Galletas Saladas Doré 230g,,230.0,g,6.2,wong,2024-12-05 17:44:05.556753,GALLETAS SALADAS,230.0,g,6.2,SAL
Sal Fina De Mesa Marina Emsal Frasco 500 g,,500.0,g,6.3,metro,2024-12-05 16:34:07.362255,SAL,1.0,kg,12.6,SAL
Lomo De Atún En Agua Y Sal x 150 g,CAMPOMAR,150.0,g,6.3,tottus,2024-12-05 12:32:25.931684,SAL,1.0,kg,42.0,SAL
Filete De Atún En Agua Y Sal x 150 g,CAMPOMAR,150.0,g,6.3,tottus,2024-12-05 12:32:25.931684,SAL,1.0,kg,42.0,SAL
Crunch Garbanzo Sal Rosada Pimienta 100 g,DYFFERENT,100.0,g,6.3,tottus,2024-12-05 12:32:25.931684,SAL,1.0,kg,63.0,SAL
Galletas FIELD Cream Crakers Bolsa 258gr,Cream Cracker,258.0,g,6.4,vega,2024-12-05 11:49:16.899897,GALLETAS SALADAS,258.0,g,6.4,SAL
Filete de atún en agua sin sal de 140 g,REAL,140.0,g,6.4,tottus,2024-12-05 12:32:25.931684,SAL,1.0,kg,45.714285714285715,SAL
Filete de atún en agua y sal de 140 g,FLORIDA,140.0,g,6.5,tottus,2024-12-05 12:32:25.931684,SAL,1.0,kg,46.42857142857142,SAL
Papas Artesanas Lay's Sal Marina 135g,,135.0,g,6.5,metro,2024-12-05 16:34:07.362255,SAL,1.0,kg,48.148148148148145,SAL
Papas Fritas Onduladas Saladas Cuisine & Co Bolsa 150 gr,,150.0,g,6.5,wong,2024-12-05 17:44:05.556753,GALLETAS SALADAS,150.0,g,6.5,SAL
Galletas Saladas FIELD Cream Cracker Paquete 2...,,258.0,g,6.59,plaza_vea,2024-12-05 14:35:08.977138,GALLETAS SALADAS,258.0,g,6.59,SAL
Galletas Saladas Cream Crackers 258g,,258.0,g,6.6,metro,2024-12-05 15:16:02.393367,GALLETAS SALADAS,258.0,g,6.6,SAL
Sal Parrillera BELL'S Frasco 500g,,500.0,g,6.6,plaza_vea,2024-12-05 15:51:25.130417,SAL,1.0,kg,13.2,SAL
Pastel de Jamón OTTO KUNZ Paquete 150g,OTTO KUNZ,150.0,g,6.8,vivanda,2024-12-05 21:35:34.448824,PASTELES SALADOS,150.0,g,6.8,SAL
Salsa de Tomate Pomarola Bolognesa de 370 g,MOLITALIA,370.0,g,6.85,tottus,2024-12-05 12:39:28.205497,PASTA Y SALSA DE TOMATE,370.0,g,6.85,SAL
Pretzel con Sal de Maras Cuisine & Co Tradicional 110g,,110.0,g,6.9,metro,2024-12-05 16:34:07.362255,SAL,1.0,kg,62.727272727272734,SAL
