description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Pulpa Congelada de Camu Camu Berries del Perú 200g,,200.0,g,12.0,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,60.0
Mermelada de fresa con chía y stevia 230 g,KUSI,230.0,g,12.4,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,53.91304347826087
Frambuesa Hortifrutc 125g,,125.0,g,12.49,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,99.92
Piña Orgánica Golden x kg,,1.0,kg,12.49,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,12.49
Yogurt Descremado Fresa Sin Lactosa 1.7Kg,LAIVE,1.7,kg,12.5,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,7.352941176470589
Yogurt LAIVE Sbelt Sabor a Fresa Galonera 1.7Kg,LAIVE,1.7,kg,12.5,vivanda,2024-12-05 22:04:24.699469,FRESA,1.0,kg,7.352941176470589
Papaya en Trozos Congelada El Frutero 1kg,,1.0,kg,12.55,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,12.55
Pulpa Congelada de Pitahaya Berries del Perú 200g,,200.0,g,12.79,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,63.949999999999996
Fresa Entera Congelada El Frutero 1kg,,1.0,kg,12.79,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,12.79
Mermelada de fresa arándano y zarzamora de 230 g,KUSI,230.0,g,12.9,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,56.086956521739125
YOGURT DESLAC FRESA 1.6 KG,YOLEIT,1.6,kg,12.9,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,8.0625
Helado Lift Berry & Fresa 95g,,95.0,g,12.9,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,135.78947368421055
Pula de Fresa Agroselva Doypack 250g,,250.0,g,12.99,metro,2024-12-05 16:02:03.681420,FRESA,1.0,kg,51.96
Pula de Fresa Agroselva Doypack 250g,,250.0,g,12.99,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,51.96
"Arándanos, Zarzamoras y Frambuesas Congeladas Berries Del Perú Bolsa 350 g",,350.0,g,13.03,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,37.22857142857143
Fresa Americana 600g,,600.0,g,13.49,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,22.483333333333334
Mermelada de Fresa Barril 1 kg,TOTTUS,1.0,kg,13.9,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,13.9
Bites Fresa Doble Chocolate KARINAT Doypack 12...,,120.0,g,13.9,plaza_vea,2024-12-05 15:20:28.208237,FRESA,1.0,kg,115.83333333333334
Mermelada BELL'S Fresa Frasco 1Kg,BELL'S,1.0,kg,13.9,vivanda,2024-12-05 22:04:24.699469,FRESA,1.0,kg,13.9
Cereal MCCALLUM'S Multicereal con Fresas Caja 350g,MCCALLUM S,350.0,g,13.9,vivanda,2024-12-05 22:04:24.699469,FRESA,1.0,kg,39.714285714285715
Piña Hawai en Trozos Congelados 1kg,,1.0,kg,13.99,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,13.99
Fresas Congeladas Berries del Perú 1kg,,1.0,kg,14.32,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,14.32
Blueberries BELL'S FRESCOS Bandeja 500g,,500.0,g,14.4,plaza_vea,2024-12-05 15:20:28.208237,FRESA,1.0,kg,28.8
Compota de Fresas Fondo Montebello 40g,,40.0,g,14.9,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,372.5
Fresa Juguerías DEL ANDE Bolsa 1Kg,,1.0,kg,14.9,plaza_vea,2024-12-05 15:20:28.208237,FRESA,1.0,kg,14.9
Blueberries Frescos AFFRESCARE Bandeja 500g,,500.0,g,14.9,plaza_vea,2024-12-05 15:20:28.208237,FRESA,1.0,kg,29.8
Arándano Blueberry 500 g,,500.0,g,14.99,metro,2024-12-05 16:02:03.681420,FRESA,1.0,kg,29.98
Mix de Frutas El Frutero 1kg: Fresa + Papaya + Piña,,1.0,kg,14.99,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,14.99
Pulpa de Camu Camu Congelada Natifut 250g,,250.0,g,14.99,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,59.96
Frutas del Bosque Green Food 400g,,400.0,g,15.0,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,37.5
Yogurt VAKIMU +Pro Sabor a Fresa Pote 500g,VAKIMU,500.0,g,15.2,vivanda,2024-12-05 22:04:24.699469,FRESA,1.0,kg,30.4
Fresa Congelada En Trozos 1Kg,TOTTUS,1.0,kg,15.3,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,15.3
"Mix de Fresa, Papaya y Piña Congelada EL FRUTERO Bolsa 1Kg",EL FRUTERO,1.0,kg,15.49,vivanda,2024-12-05 22:04:24.699469,FRESA,1.0,kg,15.49
"Mix de Fresa, Papaya y Piña Congelada EL FRUTE...",,1.0,kg,15.49,plaza_vea,2024-12-05 15:20:28.208237,FRESA,1.0,kg,15.49
Yogurt Fresa Quark 500 g,TOTTUS,500.0,g,15.5,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,31.0
Fresa Entera Congelada EL FRUTERO Bolsa 1Kg,EL FRUTERO,1.0,kg,15.5,vivanda,2024-12-05 22:04:24.699469,FRESA,1.0,kg,15.5
FRESA ENTERA CONGELADA 1 KG,EL FRUTERO,1.0,kg,15.5,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,15.5
Fresa Entera Congelada EL FRUTERO Bolsa 1Kg,,1.0,kg,15.5,plaza_vea,2024-12-05 15:20:28.208237,FRESA,1.0,kg,15.5
Cereal Almohaditas de Fresa Ángel 350 g,ANGEL,350.0,g,15.7,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,44.857142857142854
"Fruta en Trozos Piña, Papaya y Fresa Congelada Natifrut 1kg",,1.0,kg,15.72,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,15.72
"Fruta en Trozos Piña, Papaya y Sandía Congelada Natifrut 1kg",,1.0,kg,15.72,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,15.72
Yogurt Griego Vakimu Mango Fresa 1 kg,TOTTUS,1.0,kg,15.9,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,15.9
Mermelada Fresa Barril x 950 g,GLORIA,950.0,g,15.9,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,16.736842105263158
Arándano Blueberry 500 g,,500.0,g,15.99,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,31.98
Fresas Emporio 600g,,600.0,g,15.99,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,26.650000000000002
Zarzamora 250g,,250.0,g,15.99,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,63.96
Mix Fresa Papaya Y Piña Congelada Trozos 1Kg,TOTTUS,1.0,kg,16.0,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,16.0
Mermelada de Fresa FANNY Frasco 950g,FANNY,950.0,g,16.1,vivanda,2024-12-05 22:04:24.699469,FRESA,1.0,kg,16.947368421052634
Papaya en Trozos Congelados Natifrut 1kg,,1.0,kg,16.14,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,16.14
Helado Zub Zero Fresa 200g,,200.0,g,16.5,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,82.5
Mix De Frutas Congeladas Fresa Papaya Y Pina 1Kg,AFRIKA&CO,1.0,kg,16.5,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,16.5
Cerezas Congeladas Berries Del Perú Bolsa 350 g,,350.0,g,16.63,wong,2024-12-05 18:38:19.009005,FRESA,1.0,kg,47.51428571428571
Yogurt Griego Mango con Fresa VAKIMU YOG Pote 1Kg,VAKIMU,1.0,kg,16.8,vivanda,2024-12-05 22:04:24.699469,FRESA,1.0,kg,16.8
MIX DE FRUTAS FRESA PINA Y MANGO BL X 1 KG,EL FRUTERO,1.0,kg,16.95,tottus,2024-12-05 12:02:42.846298,FRESA,1.0,kg,16.95
