description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Lavadora WT16WVTB 16 Kg TurboDrum Carga Superior Blanco,"S/ 1,399",tottus,UVA BLANCA,2024-12-05 12:00:55.059246,16.0,kg,Lavadora WT16WVTB  TurboDrum Carga Superior Blanco,1.0,tottus,LG,UVA BLANCA
Lavadora WT13WPBK 13 Kg Smart Motion Carga Superior Blanco,"S/ 1,099",tottus,UVA BLANCA,2024-12-05 12:00:55.059246,13.0,kg,Lavadora WT13WPBK  Smart Motion Carga Superior Blanco,1.0,tottus,LG,UVA BLANCA
Bebida Rehidratante SPORADE Sabor a Uva Botella 500ml,S/ 2.40,vivanda,UVA BLANCA,2024-12-05 22:03:16.393293,500.0,ml,Bebida Rehidratante SPORADE Sabor a Uva Botella,2.4,vivanda,SPORADE,UVA BLANCA
Uva 600 mL,S/ 2.40,tottus,UVA BLANCA,2024-12-05 12:00:55.059246,600.0,ml,Uva,2.4,tottus,POWERADE,UVA BLANCA
Azúcar Impalpable UNIVERSAL Bolsa 200gr,S/ 3.10,vega,UVA BLANCA,2024-12-05 12:38:16.224143,200.0,g,Azúcar Impalpable UNIVERSAL Bolsa r,3.1,vega,Universal,UVA BLANCA
Pimienta Blanca Molida BELL'S Sobre 15g,S/ 3.10,vivanda,UVA BLANCA,2024-12-05 22:03:16.393293,15.0,g,Pimienta Blanca Molida BELL'S Sobre,3.1,vivanda,BELL'S,UVA BLANCA
Pasta Dental KOLYNOS Súper Blanco Tubo 60ml,S/ 3.30 11%,vega,UVA BLANCA,2024-12-05 12:38:16.224143,60.0,ml,Pasta Dental KOLYNOS Súper Blanco Tubo,3.3,vega,Kolynos,UVA BLANCA
Gelatina UMSHA de Uva Bolsa 120g,S/ 3.50,vivanda,UVA BLANCA,2024-12-05 22:03:16.393293,120.0,g,Gelatina UMSHA de Uva Bolsa,3.5,vivanda,UMSHA,UVA BLANCA
Bebida Natural BIO Arándano con Uva y Manzana Botella 300ml,S/ 3.60,vivanda,UVA BLANCA,2024-12-05 22:03:16.393293,300.0,ml,Bebida Natural BIO Arándano con Uva y Manzana Botella,3.6,vivanda,BIO,UVA BLANCA
MEZCLA POLVO GELATINA UVA BOLSA X 120G,S/ 3.70,tottus,UVA BLANCA,2024-12-05 12:00:55.059246,120.0,g,MEZCLA POLVO GELATINA UVA BOLSA X,3.7,tottus,UMSHA,UVA BLANCA
Cebolla Blanca x kg,S/ 3.79,vivanda,UVA BLANCA,2024-12-05 22:03:16.393293,1.0,kg,Cebolla Blanca,3.79,vivanda,VIVANDA,UVA BLANCA
Bebida sabor arándanos uva y manzana de 300 mL,S/ 3.90,tottus,UVA BLANCA,2024-12-05 12:00:55.059246,300.0,ml,Bebida sabor arándanos uva y manzana de,3.9,tottus,BIO AMAYU,UVA BLANCA
VINAGRE BLANCO X 1 L,S/ 3.90,tottus,UVA BLANCA,2024-12-05 12:00:55.059246,1.0,l,VINAGRE BLANCO X,3.9,tottus,TOTTUS,UVA BLANCA
Gelatina Uva 130 g,S/ 4,tottus,UVA BLANCA,2024-12-05 12:00:55.059246,130.0,g,Gelatina Uva,4.0,tottus,UNIVERSAL,UVA BLANCA
Gomas FINI Regaliz Uva Ácida Bolsa 80gr,S/ 4.20,vega,UVA BLANCA,2024-12-05 12:38:16.224143,80.0,g,Gomas FINI Regaliz Uva Ácida Bolsa r,4.2,vega,Fini,UVA BLANCA
Salsa Blanca CASA VERDE Doypack 150g,S/ 4.60,vivanda,UVA BLANCA,2024-12-05 22:03:16.393293,150.0,g,Salsa Blanca CASA VERDE Doypack,4.6,vivanda,CASAVERDE,UVA BLANCA
