description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,brand,CLASIFICACION
Leche Evaporada Entera Gloria Lata 390g,S/ 4.20,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:43:57.356161,390.0,g,Leche Evaporada Entera Gloria Lata,4.2,metro,,,MEZCLA LÁCTEA EVAPORADA
Leche Reconstituida Entera GLORIA Lata 390g,S/ 4.20 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:03:37.667045,390.0,g,Leche Reconstituida Entera GLORIA Lata,4.2,plaza_vea,Lata 390g,,MEZCLA LÁCTEA EVAPORADA
Leche Concentrada Laive Botella 390g,S/ 4.30,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:43:57.356161,390.0,g,Leche Concentrada Laive Botella,4.3,metro,,,MEZCLA LÁCTEA EVAPORADA
Leche GLORIA Zero Lacto Lata 390g,S/ 4.40 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:03:37.667045,390.0,g,Leche GLORIA Zero Lacto Lata,4.4,plaza_vea,Lata 390g,,MEZCLA LÁCTEA EVAPORADA
Leche sin Lactosa LAIVE Botella 390g,S/ 4.40 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:03:37.667045,390.0,g,Leche sin Lactosa LAIVE Botella,4.4,plaza_vea,Botella 390g,,MEZCLA LÁCTEA EVAPORADA
Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata 390g,S/ 4.40,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:43:57.356161,390.0,g,Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata,4.4,metro,,,MEZCLA LÁCTEA EVAPORADA
Leche Reconstituida Gloria Light Lata 390g,S/ 4.40,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:43:57.356161,390.0,g,Leche Reconstituida Gloria Light Lata,4.4,metro,,,MEZCLA LÁCTEA EVAPORADA
Leche Concentrada Laive Botella 390g,S/ 4.40,wong,MEZCLA LÁCTEA EVAPORADA,2024-12-05 18:16:10.714092,390.0,g,Leche Concentrada Laive Botella,4.4,wong,,,MEZCLA LÁCTEA EVAPORADA
Leche Reconstituida Gloria Niños Lata 390g,S/ 4.40,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:43:57.356161,390.0,g,Leche Reconstituida Gloria Niños Lata,4.4,metro,,,MEZCLA LÁCTEA EVAPORADA
Leche Light GLORIA Lata 390g,S/ 4.40 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:03:37.667045,390.0,g,Leche Light GLORIA Lata,4.4,plaza_vea,Lata 390g,,MEZCLA LÁCTEA EVAPORADA
Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata 390g,S/ 4.50,wong,MEZCLA LÁCTEA EVAPORADA,2024-12-05 18:16:10.714092,390.0,g,Leche Ultrafiltrada Sin Lactosa Gloria Zero Lacto Lata,4.5,wong,,,MEZCLA LÁCTEA EVAPORADA
Leche Reconstituida Gloria Light Lata 390g,S/ 4.50,wong,MEZCLA LÁCTEA EVAPORADA,2024-12-05 18:16:10.714092,390.0,g,Leche Reconstituida Gloria Light Lata,4.5,wong,,,MEZCLA LÁCTEA EVAPORADA
Leche Concentrada Sin Lactosa Laive Botella 390g,S/ 4.50,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:43:57.356161,390.0,g,Leche Concentrada Sin Lactosa Laive Botella,4.5,metro,,,MEZCLA LÁCTEA EVAPORADA
Leche Reconstituida Gloria Niños Lata 390g,S/ 4.50,wong,MEZCLA LÁCTEA EVAPORADA,2024-12-05 18:16:10.714092,390.0,g,Leche Reconstituida Gloria Niños Lata,4.5,wong,,,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea IDEAL Cremosita Lata 390g,S/ 4.60,vivanda,MEZCLA LÁCTEA EVAPORADA,2024-12-05 21:52:58.303741,390.0,g,Mezcla Láctea IDEAL Cremosita Lata,4.6,vivanda,,IDEAL,MEZCLA LÁCTEA EVAPORADA
Leche UHT LAIVE Entera Sin Lactosa Bolsa 900ml,S/ 4.60 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:03:37.667045,900.0,ml,Leche UHT LAIVE Entera Sin Lactosa Bolsa,4.6,plaza_vea,Bolsa 900ml,,MEZCLA LÁCTEA EVAPORADA
Leche Condensada BELL'S Lata 390g,S/ 4.60 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:03:37.667045,390.0,g,Leche Condensada BELL'S Lata,4.6,plaza_vea,Lata 390g,,MEZCLA LÁCTEA EVAPORADA
Leche sin Lactosa LAIVE Light Botella 390g,S/ 4.70 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:03:37.667045,390.0,g,Leche sin Lactosa LAIVE Light Botella,4.7,plaza_vea,Botella 390g,,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea Ideal Cremosita Lata 390g,S/ 4.70,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:43:57.356161,390.0,g,Mezcla Láctea Ideal Cremosita Lata,4.7,metro,,,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea Ideal Light Lata 390g,S/ 4.70,metro,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:43:57.356161,390.0,g,Mezcla Láctea Ideal Light Lata,4.7,metro,,,MEZCLA LÁCTEA EVAPORADA
Mezcla Láctea Ideal Light Lata 390g,S/ 4.80,wong,MEZCLA LÁCTEA EVAPORADA,2024-12-05 18:16:10.714092,390.0,g,Mezcla Láctea Ideal Light Lata,4.8,wong,,,MEZCLA LÁCTEA EVAPORADA
Mezcla en Polvo para Helado Diet UNIVERSAL Lúcuma Caja 50g,S/ 4.80,vivanda,MEZCLA LÁCTEA EVAPORADA,2024-12-05 21:52:58.303741,50.0,g,Mezcla en Polvo para Helado Diet UNIVERSAL Lúcuma Caja,4.8,vivanda,,UNIVERSAL,MEZCLA LÁCTEA EVAPORADA
Filete de Caballa FRESCOMAR Aceite Vegetal Lat...,S/ 4.80 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:03:37.667045,170.0,g,Filete de Caballa FRESCOMAR Aceite Vegetal Lat,4.8,plaza_vea,Lata 170g,,MEZCLA LÁCTEA EVAPORADA
Alimento Lácteo Probiótico GLORIA Yoguito Sabo...,S/ 4.90 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:03:37.667045,6.0,un,Alimento Lácteo Probiótico GLORIA Yoguito Sabo,4.9,plaza_vea,Paquete 6un,,MEZCLA LÁCTEA EVAPORADA
Leche Light Laive Sin Lactosa Botella 390g,S/ 4.90,wong,MEZCLA LÁCTEA EVAPORADA,2024-12-05 18:16:10.714092,390.0,g,Leche Light Laive Sin Lactosa Botella,4.9,wong,,,MEZCLA LÁCTEA EVAPORADA
Leche UHT sin Lactosa GLORIA Zero Bolsa 900ml,S/ 4.90 un,plaza_vea,MEZCLA LÁCTEA EVAPORADA,2024-12-05 15:03:37.667045,900.0,ml,Leche UHT sin Lactosa GLORIA Zero Bolsa,4.9,plaza_vea,Caja 900ml,,MEZCLA LÁCTEA EVAPORADA
