description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Avena QUAKER Tradicional Bolsa 100gr,S/ 1.30,vega,ARVEJA SECA PARTIDA,2024-12-05 12:58:22.795592,100.0,g,Avena QUAKER Tradicional Bolsa r,1.3,vega,Quaker,ARVEJA SECA PARTIDA
Avena 3 OSITOS Clásica Económica Bolsa 100g,S/ 1.50,vega,ARVEJA SECA PARTIDA,2024-12-05 12:58:22.795592,100.0,g,Avena 3 OSITOS Clásica Económica Bolsa,1.5,vega,3 Ositos,ARVEJA SECA PARTIDA
Arveja VEGA Bolsa 400g,S/ 2.90,vega,ARVEJA SECA PARTIDA,2024-12-05 12:58:22.795592,400.0,g,Arveja VEGA Bolsa,2.9,vega,Vega,ARVEJA SECA PARTIDA
Arveja TIMONEL Bolsa 400gr,S/ 3.20,vega,ARVEJA SECA PARTIDA,2024-12-05 12:58:22.795592,400.0,g,Arveja TIMONEL Bolsa r,3.2,vega,Timonel,ARVEJA SECA PARTIDA
Arveja Partida Máxima 500g,S/ 3.50,wong,ARVEJA SECA PARTIDA,2024-12-05 18:54:55.466987,500.0,g,Arveja Partida Máxima,3.5,wong,,ARVEJA SECA PARTIDA
Arveja Partida Máxima 500g,S/ 3.50,metro,ARVEJA SECA PARTIDA,2024-12-05 16:18:44.744324,500.0,g,Arveja Partida Máxima,3.5,metro,,ARVEJA SECA PARTIDA
Arveja Partida Costeño 500g,S/ 3.80,wong,ARVEJA SECA PARTIDA,2024-12-05 18:54:55.466987,500.0,g,Arveja Partida Costeño,3.8,wong,,ARVEJA SECA PARTIDA
Arveja Partida Costeño 500g,S/ 3.80,metro,ARVEJA SECA PARTIDA,2024-12-05 16:18:44.744324,500.0,g,Arveja Partida Costeño,3.8,metro,,ARVEJA SECA PARTIDA
Arveja partida VALLENORTE Bolsa 500gr,S/ 3.90,vega,ARVEJA SECA PARTIDA,2024-12-05 12:58:22.795592,500.0,g,Arveja partida VALLENORTE Bolsa r,3.9,vega,VALLENORTE,ARVEJA SECA PARTIDA
Arveja Partida 500 g,S/ 4,tottus,ARVEJA SECA PARTIDA,2024-12-05 12:20:21.910227,500.0,g,Arveja Partida,4.0,tottus,TOTTUS,ARVEJA SECA PARTIDA
Arveja Partida 500 g,S/ 4.20,tottus,ARVEJA SECA PARTIDA,2024-12-05 12:20:21.910227,500.0,g,Arveja Partida,4.2,tottus,TESORO DEL CAMPO,ARVEJA SECA PARTIDA
Papa seca VEGA Bolsa 400g,S/ 4.30,vega,ARVEJA SECA PARTIDA,2024-12-05 12:58:22.795592,400.0,g,Papa seca VEGA Bolsa,4.3,vega,Vega,ARVEJA SECA PARTIDA
Arveja Partida Costeño 500 g,S/ 4.40,tottus,ARVEJA SECA PARTIDA,2024-12-05 12:20:21.910227,500.0,g,Arveja Partida Costeño,4.4,tottus,COSTENO,ARVEJA SECA PARTIDA
Avena QUAKER Tradicional Bolsa 200g,S/ 4.60,vega,ARVEJA SECA PARTIDA,2024-12-05 12:58:22.795592,200.0,g,Avena QUAKER Tradicional Bolsa,4.6,vega,Quaker,ARVEJA SECA PARTIDA
Papa Seca TIMONEL Bolsa 400gr,S/ 5.10,vega,ARVEJA SECA PARTIDA,2024-12-05 12:58:22.795592,400.0,g,Papa Seca TIMONEL Bolsa r,5.1,vega,Timonel,ARVEJA SECA PARTIDA
Avena Clásica 3 OSITOS Bolsa 500gr,S/ 6.00 8%,vega,ARVEJA SECA PARTIDA,2024-12-05 12:58:22.795592,500.0,g,Avena Clásica 3 OSITOS Bolsa r,6.0,vega,3 Ositos,ARVEJA SECA PARTIDA
Avena QUAKER Tradicional Bolsa 500gr,S/ 7.20,vega,ARVEJA SECA PARTIDA,2024-12-05 12:58:22.795592,500.0,g,Avena QUAKER Tradicional Bolsa r,7.2,vega,Quaker,ARVEJA SECA PARTIDA
Avena GRANO DE ORO Bolsa 1kg,S/ 10.50,vega,ARVEJA SECA PARTIDA,2024-12-05 12:58:22.795592,1.0,kg,Avena GRANO DE ORO Bolsa,10.5,vega,Grano De Oro,ARVEJA SECA PARTIDA
Avena con Quinua 3 OSITOS Premium 900g,S/ 10.69 14%,vega,ARVEJA SECA PARTIDA,2024-12-05 12:58:22.795592,900.0,g,Avena con Quinua 3 OSITOS Premium,10.69,vega,3 Ositos,ARVEJA SECA PARTIDA
Avena SANTA CATALINA Bolsa 900g,S/ 11.00,vega,ARVEJA SECA PARTIDA,2024-12-05 12:58:22.795592,900.0,g,Avena SANTA CATALINA Bolsa,11.0,vega,Santa Catalina,ARVEJA SECA PARTIDA
Avena QUAKER Original Bolsa 900gr,S/ 11.50 21%,vega,ARVEJA SECA PARTIDA,2024-12-05 12:58:22.795592,900.0,g,Avena QUAKER Original Bolsa r,11.5,vega,Quaker,ARVEJA SECA PARTIDA
Toalla Higiénica ALWAYS Noche Seca Pack 32un,S/ 16.00,vega,ARVEJA SECA PARTIDA,2024-12-05 12:58:22.795592,32.0,un,Toalla Higiénica ALWAYS Noche Seca Pack,16.0,vega,Always,ARVEJA SECA PARTIDA
Avena 3 OSITOS Clásica Económica Bolsa 100g Paquete 24u,,vega,ARVEJA SECA PARTIDA,2024-12-05 12:58:22.795592,100.0,g,Avena 3 OSITOS Clásica Económica Bolsa  Paquete 24u,,vega,3 Ositos,ARVEJA SECA PARTIDA
