description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Papas RIKY TOK Ondas Picantes Bolsa 30g,S/ 1.00,vega,PAPA HUAYRO,2024-12-05 13:02:45.266909,30.0,g,Papas RIKY TOK Ondas Picantes Bolsa,1.0,vega,RIKY TOK,PAPA HUAYRO
Papas RIKY TOK Ondas Naturales Bolsa 30g,S/ 1.00,vega,PAPA HUAYRO,2024-12-05 13:02:45.266909,30.0,g,Papas RIKY TOK Ondas Naturales Bolsa,1.0,vega,RIKY TOK,PAPA HUAYRO
Papas PAPI RICAS Sabor Picante Bolsa 28gr,S/ 1.50,vega,PAPA HUAYRO,2024-12-05 13:02:45.266909,28.0,g,Papas PAPI RICAS Sabor Picante Bolsa r,1.5,vega,PAPI RICAS,PAPA HUAYRO
Papas LAYS Clásicas Bolsa 38g,S/ 2.40,vega,PAPA HUAYRO,2024-12-05 13:02:45.266909,38.0,g,Papas LAYS Clásicas Bolsa,2.4,vega,Lays,PAPA HUAYRO
Papas Artesanales LAYS Sal Marina Bolsa 34g,S/ 2.49,vivanda,PAPA HUAYRO,2024-12-05 22:18:05.232828,34.0,g,Papas Artesanales LAYS Sal Marina Bolsa,2.49,vivanda,LAY'S,PAPA HUAYRO
Papas Artesanales LAYS BBQ Bolsa 34g,S/ 2.49,vivanda,PAPA HUAYRO,2024-12-05 22:18:05.232828,34.0,g,Papas Artesanales LAYS BBQ Bolsa,2.49,vivanda,LAY'S,PAPA HUAYRO
Tortees Picante 71g,S/ 2.50,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,71.0,g,Tortees Picante,2.5,tottus,,PAPA HUAYRO
Tortees Salado 71g,S/ 2.50,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,71.0,g,Tortees Salado,2.5,tottus,,PAPA HUAYRO
Papas Lay's Clásicas 36g,S/ 2.50,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,36.0,g,Papas Lay's Clásicas,2.5,tottus,LAYS,PAPA HUAYRO
Papas LAY'S Clásicas Bolsa 36g,S/ 2.70,vivanda,PAPA HUAYRO,2024-12-05 22:18:05.232828,36.0,g,Papas LAY'S Clásicas Bolsa,2.7,vivanda,LAY'S,PAPA HUAYRO
Papas PAPI RICAS Sabor Picante Bolsa 70gr,S/ 2.80,vega,PAPA HUAYRO,2024-12-05 13:02:45.266909,70.0,g,Papas PAPI RICAS Sabor Picante Bolsa r,2.8,vega,PAPI RICAS,PAPA HUAYRO
Papas PAPI RICAS Sabor Pollo a la Brasa Bolsa 70gr,S/ 2.80,vega,PAPA HUAYRO,2024-12-05 13:02:45.266909,70.0,g,Papas PAPI RICAS Sabor Pollo a la Brasa Bolsa r,2.8,vega,PAPI RICAS,PAPA HUAYRO
Papas PAPI RICAS Sabor Natural 70gr,S/ 2.80,vega,PAPA HUAYRO,2024-12-05 13:02:45.266909,70.0,g,Papas PAPI RICAS Sabor Natural r,2.8,vega,PAPI RICAS,PAPA HUAYRO
Takis Fuego 1P 56 g Flow Bar Exp,S/ 3.60,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,56.0,g,Takis Fuego 1P  Flow Bar Exp,3.6,tottus,BIMBO,PAPA HUAYRO
Papas Fritas BELL'S Sabor Original Lata 60g,S/ 3.70,vivanda,PAPA HUAYRO,2024-12-05 22:18:05.232828,60.0,g,Papas Fritas BELL'S Sabor Original Lata,3.7,vivanda,BELL'S,PAPA HUAYRO
Chifles Salados 100 g,S/ 3.79,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,100.0,g,Chifles Salados,3.79,tottus,TOTTUS,PAPA HUAYRO
Papas al Hilo 100 g,S/ 3.90,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,100.0,g,Papas al Hilo,3.9,tottus,TOTTUS,PAPA HUAYRO
Quinoa Chips Sabor Finas Hierbas 35g,S/ 3.90,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,35.0,g,Quinoa Chips Sabor Finas Hierbas,3.9,tottus,QFOODS,PAPA HUAYRO
Papas LAY'S Clásicas Bolsa 70g,S/ 4.00,vivanda,PAPA HUAYRO,2024-12-05 22:18:05.232828,70.0,g,Papas LAY'S Clásicas Bolsa,4.0,vivanda,LAY'S,PAPA HUAYRO
Papa Rellena x un,S/ 4.00,vivanda,PAPA HUAYRO,2024-12-05 22:18:05.232828,1.0,un,Papa Rellena,4.0,vivanda,VIVANDA,PAPA HUAYRO
Papas Lay's Clásicas 70g,S/ 4,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,70.0,g,Papas Lay's Clásicas,4.0,tottus,LAYS,PAPA HUAYRO
Papas al Hilo BELL'S Bolsa 125g,S/ 4.20,vivanda,PAPA HUAYRO,2024-12-05 22:18:05.232828,125.0,g,Papas al Hilo BELL'S Bolsa,4.2,vivanda,BELL'S,PAPA HUAYRO
Papa seca VEGA Bolsa 400g,S/ 4.30,vega,PAPA HUAYRO,2024-12-05 13:02:45.266909,400.0,g,Papa seca VEGA Bolsa,4.3,vega,Vega,PAPA HUAYRO
Papa Huayro Metro x kg,S/ 4.49 x kg,metro,PAPA HUAYRO,2024-12-05 16:22:22.190333,1.0,kg,Papa Huayro Metro,4.49,metro,,PAPA HUAYRO
Camotes Fritos 160 g,S/ 4.65,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,160.0,g,Camotes Fritos,4.65,tottus,TIYAPUY,PAPA HUAYRO
Puré de Papa 125 g,S/ 4.90,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,125.0,g,Puré de Papa,4.9,tottus,KNORR,PAPA HUAYRO
Nachos de Maíz Morado Perú Nachos 90 g,S/ 4.90,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,90.0,g,Nachos de Maíz Morado Perú Nachos,4.9,tottus,,PAPA HUAYRO
Tortilla Chips Mexi Nachos 100 g,S/ 4.90,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,100.0,g,Tortilla Chips Mexi Nachos,4.9,tottus,GENERICO,PAPA HUAYRO
Habas Saladas 150 g,S/ 4.99,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,150.0,g,Habas Saladas,4.99,tottus,TOTTUS,PAPA HUAYRO
Flamin' Hot 120g,S/ 5,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,120.0,g,Flamin' Hot,5.0,tottus,CHEETOS,PAPA HUAYRO
Queso Atrevido 90g,S/ 5,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,90.0,g,Queso Atrevido,5.0,tottus,DORITOS,PAPA HUAYRO
Tortees Salado 138g,S/ 5,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,138.0,g,Tortees Salado,5.0,tottus,,PAPA HUAYRO
Horneados Mega Queso 90g,S/ 5,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,90.0,g,Horneados Mega Queso,5.0,tottus,CHEETOS,PAPA HUAYRO
BOLIQUESO 110G,S/ 5,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,110.0,g,BOLIQUESO,5.0,tottus,CHEETOS,PAPA HUAYRO
Papa Seca TIMONEL Bolsa 400gr,S/ 5.10,vega,PAPA HUAYRO,2024-12-05 13:02:45.266909,400.0,g,Papa Seca TIMONEL Bolsa r,5.1,vega,Timonel,PAPA HUAYRO
Papas al Hilo VEGA Bolsa 150gr,S/ 5.20,vega,PAPA HUAYRO,2024-12-05 13:02:45.266909,150.0,g,Papas al Hilo VEGA Bolsa r,5.2,vega,Vega,PAPA HUAYRO
Papas LAY'S Clásicas Bolsa 150g,S/ 5.40,vivanda,PAPA HUAYRO,2024-12-05 22:18:05.232828,150.0,g,Papas LAY'S Clásicas Bolsa,5.4,vivanda,LAY'S,PAPA HUAYRO
Papas Lay's Ondas Saladas 140 gr,S/ 5.50,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,140.0,g,Papas Lay's Ondas Saladas r,5.5,tottus,LAYS,PAPA HUAYRO
Papas Ondas LAY'S con Mayonesa Bolsa 140g,S/ 5.50,vivanda,PAPA HUAYRO,2024-12-05 22:18:05.232828,140.0,g,Papas Ondas LAY'S con Mayonesa Bolsa,5.5,vivanda,LAY'S,PAPA HUAYRO
Papas LAY'S Ondas Picante Bolsa 140g,S/ 5.50,vivanda,PAPA HUAYRO,2024-12-05 22:18:05.232828,140.0,g,Papas LAY'S Ondas Picante Bolsa,5.5,vivanda,LAY'S,PAPA HUAYRO
Papas Al Hilo Lay's 155g,S/ 5.50,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,155.0,g,Papas Al Hilo Lay's,5.5,tottus,LAYS,PAPA HUAYRO
Papas Lay's Ondas Picante 140g,S/ 5.50,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,140.0,g,Papas Lay's Ondas Picante,5.5,tottus,LAYS,PAPA HUAYRO
Papas Lay's Clásicas 150g,S/ 5.50,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,150.0,g,Papas Lay's Clásicas,5.5,tottus,LAYS,PAPA HUAYRO
Papa Seca BELL'S Bolsa 400g,S/ 5.60,vivanda,PAPA HUAYRO,2024-12-05 22:18:05.232828,400.0,g,Papa Seca BELL'S Bolsa,5.6,vivanda,BELL'S,PAPA HUAYRO
Papa Seca 400 g,S/ 5.65,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,400.0,g,Papa Seca,5.65,tottus,TOTTUS,PAPA HUAYRO
Papa Huayro Comcen x kg,S/ 5.69 x kg,metro,PAPA HUAYRO,2024-12-05 16:22:22.190333,1.0,kg,Papa Huayro Comcen,5.69,metro,,PAPA HUAYRO
Papas RIKY TOK Ondas Picantes Bolsa 180g,S/ 5.70,vega,PAPA HUAYRO,2024-12-05 13:02:45.266909,180.0,g,Papas RIKY TOK Ondas Picantes Bolsa,5.7,vega,RIKY TOK,PAPA HUAYRO
Papas LAYS Clásicas Bolsa 150g,S/ 5.80,vega,PAPA HUAYRO,2024-12-05 13:02:45.266909,150.0,g,Papas LAYS Clásicas Bolsa,5.8,vega,Lays,PAPA HUAYRO
Chifles salados de 125 g,S/ 5.90,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,125.0,g,Chifles salados de,5.9,tottus,GELCE,PAPA HUAYRO
Pretzels de 90 g,S/ 5.90,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,90.0,g,Pretzels de,5.9,tottus,TOTTUS,PAPA HUAYRO
Papas LAYS Ondas Picantes Bolsa 140g,S/ 5.90,vega,PAPA HUAYRO,2024-12-05 13:02:45.266909,140.0,g,Papas LAYS Ondas Picantes Bolsa,5.9,vega,Lays,PAPA HUAYRO
Piqueo Veggie Chips Mix 125 g,S/ 5.90,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,125.0,g,Piqueo Veggie Chips Mix,5.9,tottus,GELCE,PAPA HUAYRO
Papas al Hilo 150 g,S/ 5.90,tottus,PAPA HUAYRO,2024-12-05 12:23:46.103358,150.0,g,Papas al Hilo,5.9,tottus,TOTTUS,PAPA HUAYRO
