description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado
Piña Golden Wong x kg,,1.0,kg,5.69,wong,2024-12-05 18:41:50.640007,PIÑA,1.0,kg,5.69
"Ensalada de Piña, Sandía y Melón BELL'S Bandej...",,300.0,g,5.69,plaza_vea,2024-12-05 15:23:15.952499,PIÑA,300.0,g,5.69
"Ensalada de Piña, Sandía y Papaya BELL'S Bande...",,300.0,g,5.69,plaza_vea,2024-12-05 15:23:15.952499,PIÑA,300.0,g,5.69
Jugo de Fruta KERO Naranja y Piña Botella 475ml,KERO,475.0,ml,5.7,vivanda,2024-12-05 22:06:05.286350,PIÑA,475.0,ml,5.7
Bebida FRU + Piña Maracuyá Botella 400ml,FRU +,400.0,ml,5.7,vivanda,2024-12-05 22:06:05.286350,PIÑA,400.0,ml,5.7
Piña Golden x kg,VIVANDA,1.0,kg,5.79,vivanda,2024-12-05 22:06:05.286350,PIÑA,1.0,kg,5.79
Bebida de Manzana y Piña Golden Botella 485ml,,485.0,ml,5.79,metro,2024-12-05 16:05:11.408424,PIÑA,485.0,ml,5.79
Bebida con Aloe Vera SAPPE Piña Botella 300ml,SAPPE,300.0,ml,5.9,vivanda,2024-12-05 22:06:05.286350,PIÑA,300.0,ml,5.9
"Bebida de Naranja, Piña y Camu Camu Kero Botella 475ml",,475.0,ml,5.9,wong,2024-12-05 18:41:50.640007,PIÑA,475.0,ml,5.9
"Ensalada de Uva, Sandía y Piña BELL'S Bandeja ...",,300.0,g,5.99,plaza_vea,2024-12-05 15:23:15.952499,PIÑA,300.0,g,5.99
Agua de Piña con Arándanos Light Golden 485ml,,485.0,ml,6.1,wong,2024-12-05 18:41:50.640007,PIÑA,485.0,ml,6.1
Piña en Trozos BELL'S en Almíbar Lata 567g,BELL'S,567.0,g,6.4,vivanda,2024-12-05 22:06:05.286350,PIÑA,567.0,g,6.4
Agua de Piña con Arándanos Light Golden 485ml,,485.0,ml,6.49,metro,2024-12-05 16:05:11.408424,PIÑA,485.0,ml,6.49
Piña en Trozos BELL'S Bandeja 300g,,300.0,g,6.5,plaza_vea,2024-12-05 15:23:15.952499,PIÑA,300.0,g,6.5
"King Kong de Manjarblanco, Piña y Maní Caja 75 g",,75.0,g,6.7,wong,2024-12-05 18:41:50.640007,PIÑA,75.0,g,6.7
Bebida Piña Colada Light Golden 485ml,,485.0,ml,6.79,metro,2024-12-05 16:05:11.408424,PIÑA,485.0,ml,6.79
