description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Ají Jalapeño Ecologic 250g,S/ 6.90,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,250.0,g,Ají Jalapeño Ecologic,6.9,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Jalapeño Ecologic 250g,S/ 6.90,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,250.0,g,Ají Jalapeño Ecologic,6.9,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Salsa WALIBI Crema de Rocoto Doypack 200gr,S/ 7.00,vega,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 13:17:43.262369,200.0,g,Salsa WALIBI Crema de Rocoto Doypack r,7.0,vega,Walibi,AJÍ PANCA MOLIDO (ESPECIAL)
Salsa WALIBI Ají Criollo Doypack 200gr,S/ 7.00,vega,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 13:17:43.262369,200.0,g,Salsa WALIBI Ají Criollo Doypack r,7.0,vega,Walibi,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Amarillo Frasco 70 g,S/ 7.20,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,70.0,g,Ají Amarillo Frasco,7.2,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Jalapeño 230g,S/ 7.20,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,230.0,g,Ají Jalapeño,7.2,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Huacatay Pote 250 g,S/ 7.50,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,250.0,g,Ají Huacatay Pote,7.5,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Panca En Pasta Wong Pote 250 g,S/ 7.50,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,250.0,g,Ají Panca En Pasta Wong Pote,7.5,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Comino Molido Toña 50g,S/ 7.70,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,50.0,g,Comino Molido Toña,7.7,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají de La Casa Wong 250g,S/ 7.92,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,250.0,g,Ají de La Casa Wong,7.92,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají de la Abuela Wong 250g,S/ 7.92,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,250.0,g,Ají de la Abuela Wong,7.92,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Pizza Max Mix 40g,S/ 7.99,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,40.0,g,Ají Pizza Max Mix,7.99,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Marisol Seco BELL'S FRESCOS Bandeja 100g,S/ 7.99,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 22:27:19.251763,100.0,g,Ají Marisol Seco BELL'S FRESCOS Bandeja,7.99,vivanda,BELL'S FRESCOS,AJÍ PANCA MOLIDO (ESPECIAL)
Sillao Aji-No-Sillao 1L,S/ 8.00,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,1.0,l,Sillao Aji-No-Sillao,8.0,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Paprika Molido Sin Picante Frasco 50 g,S/ 8.20,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,50.0,g,Ají Paprika Molido Sin Picante Frasco,8.2,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Panca en Pasta Pote 250 g,S/ 8.20,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,250.0,g,Ají Panca en Pasta Pote,8.2,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Amarillo x kg,S/ 8.29 x kg,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,1.0,kg,Ají Amarillo,8.29,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Ajo KARIÑO Molido Frasco 40Gr,S/ 8.30,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 22:27:19.251763,40.0,g,Ajo KARIÑO Molido Frasco r,8.3,vivanda,KARINO,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Criollo Wong Pote 250 g,S/ 8.70,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,250.0,g,Ají Criollo Wong Pote,8.7,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Amarillo x kg,S/ 8.99 x kg,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,1.0,kg,Ají Amarillo,8.99,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
